"Order","Column","Units","Class","Notes"
1,"Article_ID","Seq_numbers","numeric","Unique identifier number for each article."
2,"First_author_name","character","character","Name of first author of article"
3,"Second_author_name","character","character","Name of second author of article, or if more than 2 authors, use et al."
4,"Year_published","Year","numeric","Year article was published (do not confuse with year of trial)"
5,"Journal_title","Title","character","Name of journal"
6,"Title_of_article","Title","character","Title of article"
7,"Journal_vol","Volume","numeric","Volume of journal"
8,"Journal_iss","Issue","numeric","Issue of journal"
9,"Page_numbers","Numbers_x-y","character","Page numbers of article in journal"
10,"Table_number","Number","character","Table number data refers to"
11,"Figure_number","Number","character","Figure number data refers to"
12,"DOI","DOI","character","Digital Object Identifier of article"
13,"Website","Website","character","Website of article"
14,"Data_type","Primary_Secondary","character","If collected by investigator/authors themselves then state ""Primary"", if collected as a review of the literature then state ""Secondary""."
15,"Article_quality","numeric","numeric","Article quality subjectively assessed by reviewer on 1-3 scale with 1 being best quality"
16,"Experiment_Number","Number","numeric","Add experiment number if multiple experiments per article, otherwise leave as 1."
17,"Year_experiment","Year","numeric","Calendar year of the experiment (when sown)"
18,"Data_license_no","Number_code","logical","Data license number relating to these data."
19,"Dataset_ID","Number_code","logical","Identification number/code of dataset these came from"
20,"Plot_area","metres_square","numeric","Area of plot"
21,"Block","Number_code","numeric","Experimental block number or code"
22,"Number_years_data","Number","numeric","Number of years the statistics are measured over (put 1 if it is only for one year/season)."
23,"Experimental_design_Description","Description","character","Experimental design eg Randomised Complete Block,"
24,"Experimental_objective_Description","Description","character","Objective of the experiment"
25,"Description_treatment_Description","Description","character","Description of treatment"
26,"Treatment_Name","Name","character","Name/code of treatment"
27,"Control_treatment_Yes_No","Yes_No","character","Is this a 'control' treatment? (Yes or No)"
28,"Replicate_n","Number","numeric","Number of replicates per treatment"
29,"Replicate_num","Number","numeric","Replicate number (if data received as raw data)"
30,"Country","Name","character","Country trial located"
31,"State_province","Name","character","State or province trial located"
32,"Nearest_town_city","Name","character","Nearest town or city trial located"
33,"GPS_coordinates_altitude","character","character","Global Positioning System coordinates and altitude in metres above sea level"
34,"GPS_lat_DD","numeric","numeric","Global Positioning System, latitude, decimal degrees"
35,"GPS_long_DD","numeric","numeric","Global Positioning System, longitude, decimal degrees"
36,"Annual_rainfall_mean_mm_year","mm_year","numeric","Include best estimate of mean (10+ year) rainfall each year for area of site"
37,"Actual_rainfall_during trial_mm","mm","numeric","Include actual rainfall during period of trial (sowing to harvest)"
38,"Irrigation_method_Name","Name","character","Name irrigation method used (state none if no irrigation used)"
39,"Actual_irrigation_mm","mm","numeric","Include actual irrigation applied during period of trial (sowing to harvest)"
40,"Soil_moisture_%_WHC","%_WHC","numeric","Soil moisture at beginning of trial based on water holding capacity"
41,"Soil_clay_%","%","numeric","Percentage of soil as clay"
42,"Soil_silt_%","%","numeric","Percentage of soil as silt"
43,"Soil_sand_%","%","numeric","Percentage of soil as sand"
44,"Soil_texture_Name","Name","character","Name of soil texture type (see pgs 4-6 for definitions of soil types at: http://www.umich.edu/~nre430/PDF/Soil_Profile_Descriptions.pdf   )"
45,"Soil_class_Name","Name","character","Name of soil class based on classification used in article."
46,"Soil_pH_H2O_1:1_Number","Number","numeric","pH of soil based on the 1:1 water pH test (see USDA Soil Survey Laboratory Methods Manual at https://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253871.pdf)"
47,"Soil_pH_H2O_1:2.5_Number","Number","numeric","pH of soil based on the 1:2.5 water pH test (see Fujisao et al 2020 at https://doi.org/10.1038/s41598-020-67830-9)"
48,"Soil_pH_H2O_1:5_Number","Number","logical","pH of soil based on the 1:5 water pH test(See McLean (1983) in https://doi.org/10.2134/agronmonogr9.2.2ed.c12 referred to in Azeem et al (2021) Revista Brasileira de Engenharia Agrícola e Ambiental"
49,"Soil_pH_CaCl2_Number","Number","numeric","pH of soil based on the 1.2:1 water pH test (with 0.01 M CaCl2)(see USDA Soil Survey Laboratory Methods Manual at https://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb1253871.pdf)"
50,"Soil_Bulk_density_mg_cm3","mg_cm3","numeric","Soil bulk density measure"
51,"Soil_SOC_K2Cr2O7_g_C_kg","g_C_kg","character","Soil organic carbon content using K2Cr2O7 colorimetric oxidisation method (Walkley and Black 1934)-see Li et al (2020) https://doi.org/10.1080/03650340.2020.1796980"
